age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
20,M,PC7X217,City,2,27-01-2015,1,CID23945,Without Offers,Desktop,Fiber_Optic,4:11:19,16,237.39,25000.09,16,704.4,0,Yes,0,1,2,1
35,F,EER61FP,Village,3,30-10-2016,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,5:36:03,20,148.24,30984.56,11,729.04,1,No,0,1,2,0
43,M,KJLXRJ7,Town,5,26-04-2017,1,xxxxxxxx,Without Offers,Both,Wi-Fi,3:32:50,16,773.83,9091.94,20,700.4,0,Yes,0,1,2,0
35,M,MVC3XG0,Town,5,11-05-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,9:20:14,12,34.48,48679.07,6,779.59,1,No,0,1,2,0
18,F,WGKRXHK,City,1,17-06-2016,1,CID29938,Credit/Debit Card Offers,Smartphone,Mobile_Data,21:33:45,20,156.06,4783.23,28.75639925,597.87,1,No,1,0,2,0
35,M,U2S0ZMS,Town,0,27-11-2017,1,CID23426,Without Offers,Smartphone,Mobile_Data,22:34:23,4,157.03,22975.33,18,548.1,0,Yes,0,1,2,1
43,M,11SAVWA,Town,0,06-04-2015,0,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,13:41:04,11,227.23,29602.15,24,663.63,0,Yes,1,4,2,1
53,M,UZELBS2,Town,4,27-01-2017,0,xxxxxxxx,Without Offers,?,Fiber_Optic,12:50:50,6,228.02,46353.54,19,302.0058985,1,No,1,0,1,0
39,M,BFC2STE,City,0,01-12-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,4:04:47,13,98.57,2645.63,23,674.42,0,Yes,0,1,2,1
11,M,K9534WF,City,3,22-06-2016,0,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,1:42:15,23,176.31,8983.02,25,707.46,0,Yes,1,2,2,1
50,M,148CAFB,Town,3,21-01-2015,1,CID60579,Credit/Debit Card Offers,Desktop,Wi-Fi,18:29:15,19,65.39,17054.69,21,353.3690015,0,Yes,1,2,1,0
49,F,IJ500YB,City,2,25-08-2016,1,CID31774,Gift Vouchers/Coupons,?,Wi-Fi,10:39:05,3,74.9,41612.23,28,1196.569315,0,Yes,1,3,1,1
53,F,VDCZUD5,City,5,02-04-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,21:35:56,18,172.99,9044.15,8,763.14,1,No,1,3,0,0
54,M,KUJNEI7,,1,07-08-2015,1,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,19:26:54,13,254.72,11345.66,7,572.41,0,Yes,1,3,2,1
62,F,UHDKJ4T,City,0,13-10-2016,0,xxxxxxxx,Without Offers,Both,Fiber_Optic,7:55:41,5,304.52,47658.52,29,699.19,0,Yes,1,2,2,1
55,M,E1EYCEB,City,4,14-04-2015,1,CID47303,Credit/Debit Card Offers,Both,Mobile_Data,22:44:04,1,1316.52,2367.56,25,441.8365499,1,No,0,1,1,0
25,F,IHGGCOB,Village,3,18-05-2017,1,CID4642,Without Offers,Smartphone,Mobile_Data,15:00:18,11,31.88,35414.54,20,788.67,0,Yes,0,1,1,0
24,F,7VI8S2N,Town,5,29-08-2017,1,CID40499,Without Offers,Desktop,Fiber_Optic,20:42:49,5,181.34,43554.96,1,728.69,1,No,1,3,0,0
48,M,0FXRTQ3,City,0,27-03-2015,1,CID29095,,Desktop,Mobile_Data,18:59:30,8,960.62,13954.02,17,631.15,0,Yes,1,2,2,1
56,M,CFXGFEO,Village,1,22-08-2017,1,CID11447,Credit/Debit Card Offers,Desktop,Wi-Fi,18:27:08,24,48.59,28071.04,16,533.05,0,Yes,1,2,2,1
23,F,JAWMYHN,Town,3,04-08-2016,1,CID3210,Without Offers,Desktop,Wi-Fi,10:53:56,21,727.69,4919.72,13,758.83,1,Yes,0,1,2,0
59,M,OOEQJ9E,Village,3,01-09-2015,1,CID45337,Without Offers,Both,Mobile_Data,0:41:03,8,899.04,49614.88,23,758.69,1,No,0,1,2,0
23,M,XDANU0N,City,3,21-06-2015,1,CID44094,Credit/Debit Card Offers,Desktop,Wi-Fi,7:05:14,10,934.3542198,11955.94,24,630.8,0,Yes,1,4,2,1
52,F,0B93V8I,City,1,13-11-2017,1,CID60201,Credit/Debit Card Offers,Smartphone,Mobile_Data,20:27:36,4,826.51,14877.24,25,522.61,1,No,0,1,2,1
49,F,80X3LBS,Town,5,02-09-2016,1,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,16:09:53,21,115.41,41156.81,27,741.02,0,Yes,0,1,2,0
30,M,WX9FMKD,,5,14-05-2017,0,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,1:07:51,7,481.45,4207.45,28,776.36,1,Yes,0,1,2,0
27,M,1Q644S2,City,2,23-10-2016,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,19:13:01,21,357.45,29825.45,9,665.63,0,Yes,1,2,2,1
56,M,DEN5T45,City,3,24-04-2016,0,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,2:55:41,21,1386.232857,9454.17,19,778.27,1,No,0,1,2,0
11,M,HO7SVW2,,2,24-08-2016,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,10:45:18,15,96.14,11995.93,19,207.169769,1,No,0,1,2,1
31,F,8AWVLE2,Town,2,13-04-2017,0,xxxxxxxx,Credit/Debit Card Offers,Both,Wi-Fi,18:41:44,10,428.05,6325.08,28,80.09369313,0,Yes,0,1,2,1
29,M,VLT3N4A,Town,5,07-05-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,10:59:38,14,42.48,16098.94,21,766.85,1,No,1,2,2,0
31,F,W20NHNO,City,2,20-04-2016,1,CID42557,Without Offers,Smartphone,Wi-Fi,10:24:44,24,33.91,23226.43,7,762.48,0,Yes,1,2,2,0
11,F,PB5J0JP,Town,1,10-03-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:23:20,8,1060.527979,10990.31,16,271.7143813,1,No,0,1,2,1
26,M,ELWT1XG,City,2,14-11-2017,1,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,9:43:15,7,187.91,17002.23,11,700.11,0,Yes,0,1,2,0
17,M,F0CC3JK,,3,12-11-2015,1,CID27651,Gift Vouchers/Coupons,Smartphone,Wi-Fi,22:48:57,21,81.15,46109.6,17,270.467656,1,No,0,1,1,1
42,M,MWN21KT,City,4,08-06-2015,1,CID36216,Credit/Debit Card Offers,Smartphone,Wi-Fi,16:48:16,10,1195.732666,31504.62,10,1207.253729,1,No,0,1,2,0
46,M,0PSMM0P,Village,0,16-03-2017,1,CID31973,Credit/Debit Card Offers,Smartphone,Fiber_Optic,21:40:49,21,287.39,44809.68,27,629.6,0,Yes,0,1,2,1
56,M,CX2RD4O,,3,08-07-2016,1,CID59245,Credit/Debit Card Offers,Desktop,Mobile_Data,14:23:57,16,30.16,33886.44,5,670.11,0,Yes,0,1,2,1
35,M,OFQV4L9,City,3,26-03-2015,0,xxxxxxxx,Without Offers,Both,Fiber_Optic,23:40:39,17,219.13,70247.76,3,1293.169381,1,Yes,0,1,0,0
57,M,J1ERM77,Town,0,13-01-2015,1,CID33756,Credit/Debit Card Offers,Smartphone,Wi-Fi,17:11:02,8,400.35,30248.45,9,660.25,0,Yes,1,4,2,1
64,M,T8VRII9,Town,0,16-03-2015,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,20:56:30,20,49.24,39981.97,12,648.6,1,No,1,2,2,1
21,M,5B2CFVS,Town,1,28-02-2017,1,CID47291,Credit/Debit Card Offers,Smartphone,Mobile_Data,11:52:02,16,590.85,21919.13,14,610.24,1,No,1,2,2,1
53,F,5MTFUGX,Town,3,27-01-2017,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,16:36:42,22,1142.148835,34918.7,6,699.08,1,No,1,3,2,1
26,M,R59QOZQ,Village,0,26-06-2017,1,CID37189,Credit/Debit Card Offers,Desktop,Mobile_Data,19:47:41,16,138.33,8025.77,29,1016.785713,1,No,0,1,2,1
61,M,B64YF5C,Town,3,08-01-2016,1,CID22912,Credit/Debit Card Offers,Smartphone,Mobile_Data,23:11:54,7,516.46,45544.33,29,780.96,0,Yes,1,4,2,0
30,M,P5QCZFI,Town,0,28-04-2015,0,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,1:15:19,19,211.19,2554.48,10,622.45,1,Yes,1,2,2,1
35,F,LO2YYBQ,City,3,24-06-2015,0,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,22:58:40,10,267.45,32922.76,8,701.45,0,Yes,0,1,1,1
61,F,863177F,,0,17-07-2017,1,CID48064,Gift Vouchers/Coupons,Desktop,Wi-Fi,20:14:13,22,34.37,3862.41,10,602.86,0,Yes,0,1,2,1
53,M,O7ATCTM,City,3,05-05-2017,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,1:28:39,19,213.34,8860.9,6,671.74,1,No,1,2,2,1
55,M,ZW66T5M,Town,0,26-11-2017,0,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,5:31:13,23,50.48,8944.54,25,626.96,1,No,1,4,2,1
23,M,8IEHQ76,City,1,30-01-2016,1,CID59483,Credit/Debit Card Offers,Smartphone,Wi-Fi,6:40:31,13,1044.243494,26060.01,22,684.88,1,No,1,2,2,1
37,M,DS0I1ZT,Village,2,04-02-2015,1,CID62069,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,4:23:34,11,172.07,23587.32,28,326.1310709,1,No,0,1,2,1
31,M,7YMU3HJ,,4,15-03-2016,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,12:35:34,6,44.99,3087.16,8,750.95,1,No,0,1,1,0
59,F,YOLS46C,City,1,31-08-2016,0,xxxxxxxx,Without Offers,Both,Wi-Fi,22:42:13,8,400.21,33996.1,38.47159929,697.6,1,Yes,0,1,2,1
50,F,ZO5BVM3,Town,3,26-02-2016,1,CID34703,Credit/Debit Card Offers,Smartphone,Fiber_Optic,23:53:44,13,103.36,39610.89,10,653.12,1,No,1,2,2,1
29,F,4H6GWTF,Village,5,04-01-2016,1,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,18:36:07,19,222.69,18297.21,2,774.47,0,Yes,1,0,0,0
39,F,HHJDXST,City,2,27-09-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,3:57:34,16,283.85,3888.65,18,959.92041,1,No,0,1,0,0
37,F,C6JR6MZ,Town,3,09-02-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,9:50:46,5,32.29,63097.55,-12.71431053,780.09,0,Yes,0,1,0,0
21,M,37UOC7C,Town,2,01-07-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,10:40:52,12,145.45,48500.63,11,727.97,0,Yes,1,2,2,0
64,F,HSKJR4V,Town,1,26-09-2017,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,21:30:56,10,313.84,23211.35,15,573.16,1,No,0,1,2,1
37,F,4WL24BT,Town,1,21-07-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,3:50:58,9,206.56,13037.39,13,616.68,1,No,1,3,2,1
55,M,2DJSDW1,Town,1,07-10-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,5:53:40,21,51.75,27564.76,24,660.59,0,Yes,0,1,2,1
18,M,BXLJS7C,City,1,10-05-2016,1,CID15710,Without Offers,Smartphone,Fiber_Optic,3:33:17,10,117.9,49537.82,7,528.08,1,No,1,2,2,1
48,F,3GUQMUN,City,1,23-09-2017,1,CID3745,Credit/Debit Card Offers,Desktop,Mobile_Data,0:35:46,15,77.18,49448.05,5,605.23,0,Yes,1,0,2,1
54,M,9RXEBI1,Town,1,24-07-2016,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,18:00:30,8,60.77,45095.33,1.234738899,692.59,1,No,0,1,2,1
52,F,ZJAXMWS,Village,3,31-12-2017,0,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,8:42:23,15,197.85,42084.72,18,710.7,0,Yes,0,1,2,0
33,F,55D8U27,Town,4,20-09-2017,1,CID25657,Without Offers,Both,Mobile_Data,5:44:42,11,502.4,4714.82,24,472.8025704,1,No,0,1,2,0
35,M,MOXO4A8,Town,0,05-03-2017,1,CID3266,Credit/Debit Card Offers,Smartphone,Fiber_Optic,2:47:53,6,33.96,6175.77,22,545.14,1,No,0,1,2,1
39,F,OF3LNL7,City,3,27-10-2017,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,20:50:56,9,34.93,42965.53,29,630.68,0,Yes,1,2,2,1
29,M,0B5WG72,City,5,08-01-2015,1,CID38291,Gift Vouchers/Coupons,Desktop,Wi-Fi,22:58:44,11,317.25,17951.87,17,753.97,0,Yes,0,1,2,0
47,M,I2HH3YZ,Town,0,05-01-2017,1,CID19961,Credit/Debit Card Offers,?,Fiber_Optic,7:26:31,5,876.87,41927.46,17,636.3,1,No,1,3,2,0
16,F,G1AHQST,City,3,30-04-2017,0,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,22:54:48,8,133.36,21896.63,13,644.25,1,No,0,1,1,1
48,M,NUQM3QR,,1,28-12-2015,1,CID3699,Without Offers,?,Fiber_Optic,6:44:05,8,522.81,27264.0,11,556.79,1,Yes,1,3,2,1
14,F,QK05KFG,City,0,19-12-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,18:22:33,10,33.34,46392.24,24,582.93,1,No,0,1,2,1
13,F,LQYM49A,Village,5,28-11-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,6:53:31,5,84.05,10423.83,29,1044.81538,0,Yes,1,0,1,0
56,F,HFDQ728,Town,0,04-09-2016,1,CID11953,Without Offers,Desktop,Wi-Fi,20:17:36,19,69.22,14117.54,12,523.54,0,Yes,1,3,2,1
64,F,2VRC6NG,City,2,29-09-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,0:50:05,14,32.16,67458.29,-13.64684955,764.62,1,No,1,3,0,0
47,M,K7YIUTQ,Town,0,14-03-2015,1,CID28985,Gift Vouchers/Coupons,Both,Wi-Fi,5:39:14,20,692.73,18404.11,19,1072.745128,1,No,1,0,2,1
45,M,LU390BC,Town,5,04-04-2017,1,CID8218,Credit/Debit Card Offers,Smartphone,Mobile_Data,17:19:41,14,38.65,1225.14,9,700.07,1,No,1,4,2,0
19,F,7B5M8OC,Town,5,30-03-2016,1,CID60641,Without Offers,Smartphone,Fiber_Optic,21:43:53,20,31.98,14432.03,24,730.04,1,No,1,2,2,0
21,F,AOHLG0V,Town,2,23-03-2017,0,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,11:57:54,12,283.79,38527.24,26,760.53,1,No,1,0,1,0
32,M,XF40RRS,Town,3,11-11-2017,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,8:07:36,17,329.16,37811.56,27,757.14,0,Yes,1,4,2,0
36,F,2V0SZHQ,Town,5,09-12-2017,1,CID43621,Gift Vouchers/Coupons,Both,Fiber_Optic,11:59:47,7,700.63,26571.36,13,738.84,1,Yes,0,1,0,0
52,F,L5WC8WS,Town,1,24-08-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,5:10:18,3,166.57,45964.8,17,630.0,1,No,1,0,2,1
39,M,F91GV32,Town,0,29-12-2016,1,CID55829,Without Offers,Smartphone,Fiber_Optic,12:04:43,12,126.05,43632.02,16,594.51,1,No,0,1,2,1
42,F,609T4VI,City,2,03-09-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,21:19:08,11,428.35,26483.73,14,713.42,0,Yes,0,1,1,0
56,M,NIHJCOO,Town,2,03-05-2017,1,CID55012,Credit/Debit Card Offers,?,Wi-Fi,9:14:11,16,148.06,15456.63,29,984.3321162,0,Yes,1,3,1,1
17,F,CKLHKX1,Town,3,12-07-2017,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,17:08:48,15,196.56,1246.57,22,766.76,1,No,1,3,1,0
56,M,RHUBYN8,Town,0,30-08-2016,0,xxxxxxxx,Without Offers,Desktop,Wi-Fi,15:15:00,10,359.98,38699.34,29,560.14,0,Yes,1,0,2,0
42,F,PYIV6U9,City,1,13-05-2017,0,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,15:40:49,4,316.14,13516.16,20,659.85,0,Yes,1,2,2,1
43,M,H4GXLTP,,3,14-05-2017,1,CID40296,Gift Vouchers/Coupons,Desktop,Mobile_Data,10:21:20,19,107.18,16027.34,4,1059.640736,0,Yes,1,2,0,0
12,F,NKMSURJ,City,0,11-06-2015,1,CID62525,Gift Vouchers/Coupons,?,Wi-Fi,0:11:54,22,108.2,2998.4,26,678.14,1,No,1,0,2,1
62,F,J44762N,Town,3,18-10-2015,1,CID31521,Without Offers,Smartphone,Fiber_Optic,23:01:03,6,308.28,38497.78,21,792.37,1,No,1,4,2,0
56,M,C1WO41D,Town,1,23-07-2016,1,CID53761,Without Offers,Desktop,Mobile_Data,2:08:29,5,732.71,47547.72,15,936.3622801,1,Yes,1,4,2,1
41,M,9MVALUF,,3,14-06-2015,1,CID31015,Gift Vouchers/Coupons,Desktop,Fiber_Optic,13:58:51,22,188.96,40428.78,23,614.25,0,Yes,1,3,2,1
18,F,AGIKGT5,Town,3,02-05-2016,0,xxxxxxxx,Without Offers,Desktop,Wi-Fi,15:41:22,21,32.82,46250.9,2,779.89,1,No,0,1,0,0
23,M,FI7GAP2,City,3,08-12-2017,1,CID55727,Without Offers,Desktop,Fiber_Optic,8:16:00,15,547.87,36383.39,4,763.15,0,Yes,1,2,0,0
17,M,9UJH2VO,City,4,30-10-2017,1,CID17316,Credit/Debit Card Offers,Desktop,Mobile_Data,4:38:03,14,80.4,15214.2,16,761.95,1,No,0,1,1,0
12,F,F6PS8PZ,Town,3,02-06-2017,0,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,7:15:44,13,49.19,35209.09,10,799.43,0,Yes,1,0,0,0
63,M,YJ229A7,,4,13-11-2017,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,14:38:00,15,30.66,15079.52,23,469.5653778,1,No,0,1,2,0
59,M,UL9ZZKV,Town,0,29-01-2015,1,CID29969,Credit/Debit Card Offers,Smartphone,Mobile_Data,5:25:51,10,628.79,40093.14,55.01616857,622.06,0,Yes,0,1,2,1
23,M,HBY1Q1U,City,0,04-08-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,6:35:32,11,31.45,18606.73,24,621.94,0,Yes,0,1,2,1
32,F,80Y00VC,Town,2,22-06-2015,0,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,9:31:02,24,38.88,41019.89,19,750.83,0,Yes,1,2,0,0
11,M,4ZHLYTJ,,5,03-05-2015,1,CID53052,Gift Vouchers/Coupons,Smartphone,Wi-Fi,3:24:09,12,85.52,10636.13,5,730.02,0,Yes,0,1,2,0
42,M,64DX0N9,City,4,30-07-2016,1,CID39513,Credit/Debit Card Offers,?,Mobile_Data,21:51:05,22,1097.82189,27380.8,27,799.91,0,Yes,1,3,2,0
12,M,OGM3BJL,Town,0,01-11-2017,0,xxxxxxxx,Without Offers,Desktop,Wi-Fi,21:24:47,8,322.3,14310.09,11,559.2451349,1,No,0,1,2,1
45,M,Z8NLVWM,City,5,01-07-2015,1,CID17073,Gift Vouchers/Coupons,?,Wi-Fi,0:36:22,13,31.2,37295.99,25,1196.60075,0,Yes,0,1,2,0
55,F,HLDJORJ,City,3,06-08-2015,0,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,11:24:45,12,291.94,97643.81,5,713.99,1,Yes,0,1,0,0
24,F,XEXJM7V,Town,2,08-11-2016,1,CID50921,Gift Vouchers/Coupons,?,Mobile_Data,18:48:58,23,31.81,36494.51,24,622.69,0,Yes,0,1,2,1
24,F,O8C0RJU,Town,4,14-01-2015,0,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,4:44:07,12,31.86,21842.03,19,743.44,0,Yes,0,1,2,0
53,M,0D75NLR,Town,1,11-06-2015,0,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,12:27:16,5,428.81,40698.54,9,600.39,0,Yes,1,3,2,1
63,F,IZ5S9B4,Village,5,16-06-2017,1,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,11:08:03,15,1090.92,12483.66,2,705.75,1,Yes,1,3,0,0
62,M,VIEXSQI,Town,3,07-07-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,16:25:44,13,402.05,20411.69,15,517.3513913,1,No,0,1,0,0
48,F,X3X272M,Village,4,09-04-2015,1,CID54885,Gift Vouchers/Coupons,Desktop,Mobile_Data,19:26:49,2,33.18,24394.24,16,1042.087064,0,Yes,1,0,2,0
